"software_name","install_command","base_url_of_website"
"Google Chrome","wget -qO /tmp/chrome.deb https://dl.google.com/linux/direct/google-chrome-stable_current_amd64.deb && sudo apt install -y /tmp/chrome.deb","https://www.google.com/chrome/"
"Google Chrome Beta","wget -qO /tmp/chrome-beta.deb https://dl.google.com/linux/direct/google-chrome-beta_current_amd64.deb && sudo apt install -y /tmp/chrome-beta.deb","https://www.google.com/chrome/beta/"
"Docker Engine (docker-ce, docker-ce-cli, containerd.io, docker-buildx-plugin, docker-compose-plugin, docker-ce-rootless-extras)","curl -fsSL https://get.docker.com | sudo sh","https://www.docker.com/"
"GitHub CLI (gh)","sudo mkdir -p -m 755 /etc/apt/keyrings && curl -fsSL https://cli.github.com/packages/githubcli-archive-keyring.gpg | sudo tee /etc/apt/keyrings/githubcli-archive-keyring.gpg >/dev/null && echo ""deb [arch=$(dpkg --print-architecture) signed-by=/etc/apt/keyrings/githubcli-archive-keyring.gpg] https://cli.github.com/packages stable main"" | sudo tee /etc/apt/sources.list.d/github-cli.list && sudo apt update && sudo apt install -y gh","https://cli.github.com/"
"Sublime Text","wget -qO - https://download.sublimetext.com/sublimehq-pub.gpg | sudo tee /etc/apt/keyrings/sublimehq-pub.asc >/dev/null && printf 'Types: deb\nURIs: https://download.sublimetext.com/\nSuites: apt/stable/\nSigned-By: /etc/apt/keyrings/sublimehq-pub.asc\n' | sudo tee /etc/apt/sources.list.d/sublime-text.sources && sudo apt update && sudo apt install -y sublime-text","https://www.sublimetext.com/"
"Sublime Merge","sudo apt install -y sublime-merge  # uses the Sublime Text apt repo above","https://www.sublimemerge.com/"
"Tailscale","curl -fsSL https://tailscale.com/install.sh | sh","https://tailscale.com/"
"Slack Desktop","wget -qO /tmp/slack.deb https://downloads.slack-edge.com/desktop-releases/linux/x64/4.52.155/slack-desktop-4.52.155-amd64.deb && sudo apt install -y /tmp/slack.deb","https://slack.com/"
"TablePlus","wget -qO - https://deb.tableplus.com/apt.tableplus.com.gpg.key | gpg --dearmor | sudo tee /etc/apt/trusted.gpg.d/tableplus-archive.gpg >/dev/null && sudo add-apt-repository -y ""deb [arch=amd64] https://deb.tableplus.com/debian/26 tableplus main"" && sudo apt update && sudo apt install -y tableplus","https://tableplus.com/"
"Dropbox","echo 'deb [arch=i386,amd64 signed-by=/etc/apt/keyrings/dropbox.asc] http://linux.dropbox.com/ubuntu resolute main' | sudo tee /etc/apt/sources.list.d/dropbox.list && sudo apt update && sudo apt install -y dropbox  # get dropbox.asc from dropbox.com/install-linux","https://www.dropbox.com/"
"Claude Desktop","echo 'deb [arch=amd64,arm64 signed-by=/usr/share/keyrings/claude-desktop-archive-keyring.asc] https://downloads.claude.ai/claude-desktop/apt/stable stable main' | sudo tee /etc/apt/sources.list.d/claude-desktop.list && sudo apt update && sudo apt install -y claude-desktop  # get keyring from claude.ai/download","https://claude.ai/"
"ChatGPT (Codex app)","printf 'Types: deb\nURIs: https://persistent.oaistatic.com/codex-app-prod/linux/deb\nSuites: stable\nComponents: main\nArchitectures: amd64\nSigned-By: /usr/share/keyrings/chatgpt-archive-keyring.gpg\n' | sudo tee /etc/apt/sources.list.d/chatgpt.sources && sudo apt update && sudo apt install -y chatgpt  # get keyring from developers.openai.com/codex/app","https://developers.openai.com/codex/app"
"MongoDB Compass","wget -qO /tmp/compass.deb https://downloads.mongodb.com/compass/mongodb-compass_1.50.0_amd64.deb && sudo apt install -y /tmp/compass.deb","https://www.mongodb.com/products/compass"
"MongoDB Shell (mongosh)","wget -qO /tmp/mongosh.deb https://downloads.mongodb.com/compass/mongodb-mongosh_2.12.0_amd64.deb && sudo apt install -y /tmp/mongosh.deb","https://www.mongodb.com/products/tools/shell"
"MongoDB Database Tools","wget -qO /tmp/mongo-tools.deb https://fastdl.mongodb.org/tools/db/mongodb-database-tools-ubuntu2404-x86_64-100.19.0.deb && sudo apt install -y /tmp/mongo-tools.deb","https://www.mongodb.com/try/download/database-tools"
"Obsidian","wget -qO /tmp/obsidian.deb https://github.com/obsidianmd/obsidian-releases/releases/download/v1.13.7/obsidian_1.13.7_amd64.deb && sudo apt install -y /tmp/obsidian.deb","https://obsidian.md/"
"SmartGit","# download the Linux tar.gz from syntevo.com/smartgit/download, then: sudo tar -xzf smartgit-linux-*.tar.gz -C /opt && /opt/smartgit/bin/add-menuitem.sh","https://www.syntevo.com/smartgit/"
"Zed","curl -f https://zed.dev/install.sh | sh","https://zed.dev/"
"Claude Code","curl -fsSL https://claude.ai/install.sh | bash","https://claude.com/claude-code"
"Google Cloud SDK (gcloud, gsutil)","curl https://sdk.cloud.google.com | bash","https://cloud.google.com/sdk"
"fnm (Fast Node Manager)","curl -fsSL https://fnm.vercel.app/install | bash -s -- --skip-shell","https://github.com/Schniz/fnm"
"Node.js 26 (via fnm)","fnm install 26 && fnm default 26","https://nodejs.org/"
"antidote (zsh plugin manager)","git clone --depth=1 https://github.com/mattmc3/antidote.git ~/sh/antidote","https://antidote.sh/"
"zsh-autosuggestions","antidote install zsh-users/zsh-autosuggestions","https://github.com/zsh-users/zsh-autosuggestions"
"zsh-syntax-highlighting","antidote install zsh-users/zsh-syntax-highlighting","https://github.com/zsh-users/zsh-syntax-highlighting"
"zsh-completions","antidote install zsh-users/zsh-completions","https://github.com/zsh-users/zsh-completions"
"fzf-tab","antidote install Aloxaf/fzf-tab","https://github.com/Aloxaf/fzf-tab"
"Nerd Fonts (CaskaydiaCove, JetBrainsMono, Meslo)","for f in CascadiaCode JetBrainsMono Meslo; do mkdir -p ~/.local/share/fonts/$f && curl -fsSL https://github.com/ryanoasis/nerd-fonts/releases/latest/download/$f.tar.xz | tar -xJ -C ~/.local/share/fonts/$f; done && fc-cache -f","https://www.nerdfonts.com/"
"Bruno (AppImage)","mkdir -p ~/AppImages && gh release download --repo usebruno/bruno --pattern '*_x86_64_linux.AppImage' -O ~/AppImages/bruno.appimage && chmod +x ~/AppImages/bruno.appimage","https://www.usebruno.com/"
"Gear Lever (Flatpak)","flatpak remote-add --if-not-exists flathub https://dl.flathub.org/repo/flathub.flatpakrepo && flatpak install -y flathub it.mijorus.gearlever","https://mijorus.it/projects/gearlever/"
"Foliate (Snap)","sudo snap install foliate","https://johnfactotum.github.io/foliate/"
"ONLYOFFICE Desktop Editors (Snap)","sudo snap install onlyoffice-desktopeditors","https://www.onlyoffice.com/"
